,DESCRIPTION,DATE,MONTH,YEAR,CITY,STATE,ZONE,CASUALITIES,NUMBER OF CASUALITIES,EQUIPMENTS,LITERACY,POPULATION,NUMBER OF INCIDENTS,GROWTH IN GDP,INFLATION,TERRORIST GROUP,CLASSIFY
86,"This is how India can become the next Silicon Valley.
  Global protectionism - the fuel for innovation in India?
",2019-10-02,OCTOBER,2019,---,---,---,No,0,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
87,20 killed in terror attacks in J&K; since abrogation of Article 370: MHA informs Parliament.MHA also stated that 5161 persons were arrested in Jammu and Kashmir since August 5. Out of these only 609 persons are presently under detention.,2019-11-27,NOVEMBER,2019,Jammu,Jammu and Kashmir,North,Yes,20,---,68.74,1526406,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
88,FIR against ABVP NSUI members in Ahmedabad clash.An FIR has been registered against members of Akhil Bharatiya Vidyarthi Parishad (ABVP) and National Students' Union of India (NSUI) for the clash that broke out between the two student groups on Tuesday.,2020-01-08,JANUARY,2020,Ahmedabad,Gujarat,WEST,No,0,---,79.31,7208200,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
89,Terrorist killed in encounter in J&K;'s Pulwama.A terrorist has been gunned down in an encounter with the security forces in Jammu and Kashmir's Pulwama.,2020-01-07,JANUARY,2020,Jammu,Jammu and Kashmir,North,Yes,1,---,68.74,1526406,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,1
90,Massive fire in Mumbai building eight injured.Eight people were injured after a major fire broke out in a commercial building in Kamathipura locality of Mumbai on Monday a fire brigade official said.,2020-01-06,JANUARY,2020,Mumbai,Maharashtra,WEST,Yes,8,---,82.91,3145966,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
91,Roadies Revolution: Virat Kohli's doppelganger auditions for the show  .Roadies Revolution contestant Lakshya Thukral revealed that people take selfies with him thinking he is Virat Kohli.,2020-01-08,JANUARY,2020,---,---,---,No,0,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
92,From Pondicherry to Oxford campuses witness protests against violence in JNU.The Delhi Police on Monday transferred the case related to the violence at Jawaharlal Nehru University (JNU) to its Crime Branch even as two top officials of the premier institute met LG Anil Baijal to apprise him about the prevailing situation there officials said.,2020-01-06,JANUARY,2020,Pondicherry,Puducherry,South,No,0,---,86.55,950289,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
93,Armed masked mob attacks JNU students leaves 20 injured; Amit Shah orders probe: 10 points.All the injured teachers and the students were taken to All India Institute of Medical Sciences (AIIMS) as chaos reigned on the campus for over two hours. The violence which began Sunday evening prompted the JNU administration to call in the police which conducted a flag march later in the day.,2020-01-06,JANUARY,2020,---,---,---,Yes,20,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
94,A Kerala scientist's Arctic quest: nosy bears unending night and icy zen.Dr. Vishnu Nandan a remote sensing scientist from Thiruvananthapuram Kerala will be the only Indian aboard a research ship serving as home base for the largest Arctic expedition in history.,2019-11-21,NOVEMBER,2019,Thiruvananthapuram,Kerala,South,No,0,---,93.91,3307284,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
95,Man preparing for father's cremation killed in road mishap.On Saturday the deceased identified as Sunil was asked to bring some material to be used in the cremation of his father. He was on his way to the market when he met with the fatal accident.,2019-12-22,DECEMBER,2019,---,---,---,Yes,1,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
96,Delhi: 3 children among 9 dead in Kirari fire tragedy.Nine people died while two others were critically injured in a massive fire at a cloth godown in Delhi's Kirari area.,2019-12-23,DECEMBER,2019,---,Delhi,North,Yes,3,---,86.34,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
97,Gujarat: 3 killed as wall collapses on them during demolition.Three persons including a father-son duo were killed and two others injured after a compound wall fell on them during its demolition at Palitana town in Gujarat on Sunday police said.,2019-12-22,DECEMBER,2019,---,Gujarat,West,Yes,3,---,79.31,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
98,Two of family killed three hurt in car crash on Mumbai-Pune Expressway.The buses were heading to beach-resort town Hurghada when one of them hit the truck on Sokhna-Zafarana Road followed by the second bus also crashing in.,2019-12-30,DECEMBER,2019,---,---,---,Yes,3,---,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
99,5 kids from Ghaziabad family dead in room fire.A woman and five children were killed in a massive fire at a three-storey building in Maulana Azad Colony in Loni Ghaziabad on Monday morning.,2019-12-31,DECEMBER,2019,Ghaziabad,Uttar Pradesh,Central,Yes,5,---,69.72,4661452,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,DATA NOT AVAILABLE,0
